P10262,[GESP样题 六级] 亲朋数,动态规划 DP 普及/提高?,没思路 隔几天要重新做一遍,20260419
B3874,[GESP202309 六级] 小杨的握手问题,树状数组 递归排序 普及/提高?,没思路 归并排序做法求逆序对是没明白的 跟DP关系也没理清楚 混淆了过段时间要重做一遍,20260420
P10262,[GESP样题 六级] 亲朋数,动态规划 DP 普及/提高?,第二次做了，还行有一些思路了，但是还是没有形成肌肉记忆,20260424
B3874,[GESP202309 六级] 小杨的握手问题,树状数组 递归排序 普及/提高?,第二次做有一定的思路，但是归并时候的并不熟，看了视频,20260424
P1908,逆序对,线段树 树状数组 递归 离散化 分治 排序 扫描线 字典树 Trie,因B3874掌握的不要，所以做的同类型的题 https://www.bilibili.com/video/BV1Mx4y1o7B1/?spm_id_from=333.1387.search.video_card.click&vd_source=fae3a2e29fc5af86f1a989b51cf6bd99,20260424
P11246,[GESP202409 六级] 小杨和整数拆分,动态规划 DP,看视频过得，看了题解就懂了，等下个月在复习吧,20260424
